Name,Team,Salary
"Luke Kennard, SG",Detroit Pistons,3275280.00
"Cameron Payne, G",Chicago Bulls,3263294.00
"Dennis Smith Jr., PG",Dallas Mavericks,3218280.00
NAME,TEAM,SALARY
"Kelly Oubre Jr., SF",Washington Wizards,3208630.00
"Ekpe Udoh, F",Utah Jazz,3200000.00
"T.J. Warren, SF",Phoenix Suns,3152931.00
"Marquese Chriss, PF",Phoenix Suns,3073800.00
"Zach Collins, PF",Portland Trail Blazers,3057240.00
"Seth Curry, SG",Dallas Mavericks,3028410.00
"Mindaugas Kuzminskas, F",New York Knicks,3025035.00
"Justin Hamilton, C",Beijing Ducks,3000000.00
"Tibor Pleiss, C",Philadelphia 76ers,3000000.00
"Tomas Satoransky, SG",Washington Wizards,3000000.00
NAME,TEAM,SALARY
"Bam Adebayo, C",Miami Heat,2955840.00
"Jakob Poeltl, C",Toronto Raptors,2947320.00
"Jusuf Nurkic, C",Portland Trail Blazers,2947305.00
"Thon Maker, PF",Milwaukee Bucks,2799720.00
"Cedi Osman, SF",Cleveland Cavaliers,2775000.00
"Domantas Sabonis, PF",Indiana Pacers,2659800.00
"Jerian Grant, G",Chicago Bulls,2639314.00
"Donovan Mitchell, SG",Utah Jazz,2621280.00
"Gary Harris, SG",Denver Nuggets,2550055.00
"Delon Wright, PG",Toronto Raptors,2536898.00
NAME,TEAM,SALARY
"D.J. Wilson, PF",Milwaukee Bucks,2534280.00
"Dario Saric, PF",Philadelphia 76ers,2526840.00
"Taurean Prince, PF",Atlanta Hawks,2526840.00
"Justin Anderson, G",Philadelphia 76ers,2516048.00
"Manu Ginobili, G",San Antonio Spurs,2500000.00
"Reggie Bullock, SG",Detroit Pistons,2500000.00
"Bobby Portis, PF",Chicago Bulls,2494346.00
"Rondae Hollis-Jefferson, SF",Brooklyn Nets,2470357.00
"Bruno Caboclo, SF",Toronto Raptors,2451225.00
"Kendrick Perkins, C",Cleveland Cavaliers,2445085.00
NAME,TEAM,SALARY
"Trey Lyles, PF",Denver Nuggets,2441400.00
"T.J. Leaf, PF",Indiana Pacers,2407560.00
"Justin Jackson, SF",Sacramento Kings,2365560.00
"Shabazz Napier, PG",Portland Trail Blazers,2361360.00
"Clint Capela, C",Houston Rockets,2334528.00
"Devin Booker, SG",Phoenix Suns,2319360.00
"John Collins, F",Atlanta Hawks,2299080.00
"Denzel Valentine, SG",Chicago Bulls,2280600.00
"Larry Nance Jr., PF",Los Angeles Lakers,2272391.00
"Justin Patton, C",Minnesota Timberwolves,2247480.00
NAME,TEAM,SALARY
"Guerschon Yabusele, F",Boston Celtics,2247480.00
"Brandon Jennings, G",Milwaukee Bucks,2222803.00
"Mo Williams, PG",Denver Nuggets,2194500.00
"Kyle Anderson, SF",San Antonio Spurs,2151704.00
"Darius Miller, SF",New Orleans Pelicans,2100000.00
"Juan Hernangomez, PF",Denver Nuggets,2076840.00
"Sean Kilpatrick, G",Brooklyn Nets,2054856.00
"Kendall Marshall, PG",Milwaukee Bucks,2048257.00
"OG Anunoby, SF",Toronto Raptors,2034120.00
"Jarrett Allen, C",Brooklyn Nets,2034120.00
NAME,TEAM,SALARY
"Terry Rozier, PG",Boston Celtics,1988520.00
"Kevin Seraphin, C",Indiana Pacers,1974159.00
"Ante Zizic, C",Cleveland Cavaliers,1952760.00
"Tyler Zeller, C",Brooklyn Nets,1933941.00
"Rashad Vaughn, G",Orlando Magic,1889040.00
"Harry Giles III, PF",Sacramento Kings,1859400.00
"Henry Ellenson, PF",Detroit Pistons,1857480.00
"Eric Moreland, C",Detroit Pistons,1826300.00
"Sam Dekker, F",LA Clippers,1794600.00
"Terrance Ferguson, SG",Oklahoma City Thunder,1785000.00
NAME,TEAM,SALARY
"Furkan Korkmaz, SG",Philadelphia 76ers,1740000.00
"Caris LeVert, SG",Brooklyn Nets,1702800.00
"Malik Beasley, SG",Denver Nuggets,1700640.00
"Spencer Dinwiddie, PG",Brooklyn Nets,1656092.00
"Julyan Stone, G",Charlotte Hornets,1656092.00
"DeAndre' Bembry, SG",Atlanta Hawks,1634640.00
"Richaun Holmes, PF",Philadelphia 76ers,1600520.00
