Name,Team,Salary,Column 7
"Aron Baynes, C",Detroit Pistons,6500000.00,
"Carl Landry, PF",Philadelphia 76ers,6500000.00,
"Tim Duncan, C",San Antonio Spurs,6393750.00,
"Spencer Hawes, PF",Charlotte Hornets,6348759.00,
"Marco Belinelli, SG",Charlotte Hornets,6333333.00,
"Jae Crowder, SF",Boston Celtics,6286408.00,
"Lance Thomas, F",New York Knicks,6191000.00,
"Tarik Black, C",Los Angeles Lakers,6191000.00,
"Andrew Nicholson, F",Washington Wizards,6088993.00,
NAME,TEAM,SALARY,
"Patrick Patterson, PF",Toronto Raptors,6050000.00,
"Andrew Wiggins, SF",Minnesota Timberwolves,6006600.00,
"Ramon Sessions, G",Charlotte Hornets,6000000.00,
"Ish Smith, PG",Detroit Pistons,6000000.00,
"Wayne Ellington, SG",Miami Heat,6000000.00,
"Patrick Beverley, PG",Houston Rockets,6000000.00,
"Alex Abrines, G",Oklahoma City Thunder,5994764.00,
"Karl-Anthony Towns, C",Minnesota Timberwolves,5960160.00,
"Ben Simmons, PG",Philadelphia 76ers,5903160.00,
"Otto Porter Jr., SF",Washington Wizards,5893981.00,
NAME,TEAM,SALARY,
"Nikola Mirotic, F",Chicago Bulls,5782450.00,
"Shaun Livingston, G",Golden State Warriors,5782450.00,
"Josh McRoberts, PF",Miami Heat,5782450.00,
"Brandan Wright, F",Memphis Grizzlies,5709880.00,
"Wesley Johnson, F",LA Clippers,5628000.00,
"Jared Sullinger, C",Toronto Raptors,5628000.00,
"Tyler Johnson, SG",Miami Heat,5628000.00,
"Tony Allen, SG",Memphis Grizzlies,5505618.00,
"Luis Scola, F",Brooklyn Nets,5500000.00,
"Nick Young, G",Los Angeles Lakers,5443918.00,
NAME,TEAM,SALARY,
"Jabari Parker, PF",Milwaukee Bucks,5374320.00,
"D'Angelo Russell, SG",Los Angeles Lakers,5332800.00,
"Cody Zeller, PF",Charlotte Hornets,5318313.00,
"PJ Tucker, PF",Toronto Raptors,5300000.00,
"Brandon Ingram, SF",Los Angeles Lakers,5281680.00,
"Kyle Korver, SG",Cleveland Cavaliers,5239437.00,
"Darren Collison, G",Sacramento Kings,5229454.00,
"Langston Galloway, SG",Sacramento Kings,5200000.00,
"C.J. Watson, PG",Orlando Magic,5000000.00,
"Brandon Jennings, G",Washington Wizards,5000000.00,
NAME,TEAM,SALARY,
"Jonas Jerebko, F",Boston Celtics,5000000.00,
"Roy Hibbert, C",Charlotte Hornets,5000000.00,
"Jason Smith, F",Washington Wizards,5000000.00,
"Kyle Singler, F",Oklahoma City Thunder,4837500.00,
"Mike Dunleavy, SG",Cleveland Cavaliers,4837500.00,
"Joel Embiid, C",Philadelphia 76ers,4826160.00,
"Alex Len, C",Phoenix Suns,4823621.00,
"Jahlil Okafor, C",Philadelphia 76ers,4788840.00,
"Jaylen Brown, SG",Boston Celtics,4743000.00,
"Alexis Ajinca, C",New Orleans Pelicans,4638203.00,
NAME,TEAM,SALARY,
"Marcus Morris Sr., SF",Detroit Pistons,4625000.00,
"C.J. Miles, SG",Indiana Pacers,4583450.00,
"Jameer Nelson, G",Denver Nuggets,4540525.00,
"Nerlens Noel, C",Philadelphia 76ers,4384490.00,
"Aaron Gordon, PF",Orlando Magic,4351320.00,
"Greivis Vasquez, PG",Brooklyn Nets,4347826.00,
"Kristaps Porzingis, PF",New York Knicks,4317720.00,
"Dragan Bender, SF",Phoenix Suns,4276320.00,
"Vince Carter, SG",Memphis Grizzlies,4264057.00,
"Devin Harris, G",Dallas Mavericks,4227996.00,
NAME,TEAM,SALARY,
"J.J. Barea, PG",Dallas Mavericks,4096950.00,
"Ben McLemore, SG",Sacramento Kings,4008882.00,
"Lavoy Allen, F",Indiana Pacers,4000000.00,
"Leandro Barbosa, G",Phoenix Suns,4000000.00,
"Kris Humphries, PF",Atlanta Hawks,4000000.00,
"Jordan Hill, C",Minnesota Timberwolves,4000000.00,
"James Johnson, PF",Miami Heat,4000000.00,
"Udonis Haslem, PF",Miami Heat,4000000.00,
"Lance Stephenson, G",Minnesota Timberwolves,4000000.00,
"Dante Exum, PG",Utah Jazz,3940320.00,
NAME,TEAM,SALARY,
"Kyle O'Quinn, C",New York Knicks,3918750.00,
"Mario Hezonja, SF",Orlando Magic,3909840.00,
"Kris Dunn, PG",Minnesota Timberwolves,3872520.00,
"Thabo Sefolosha, SF",Atlanta Hawks,3850000.00,
"Nemanja Bjelica, PF",Minnesota Timberwolves,3800000.00,
"Nick Collison, F",Oklahoma City Thunder,3750000.00,
"Bojan Bogdanovic, SF",Washington Wizards,3730653.00,
"Kentavious Caldwell-Pope, SG",Detroit Pistons,3678319.00,
"Quincy Pondexter, F",San Antonio Spurs,3617978.00,
"Patty Mills, PG",San Antonio Spurs,3578948.00,
NAME,TEAM,SALARY,
"Marcus Smart, PG",Boston Celtics,3578880.00,
"Willie Cauley-Stein, C",Sacramento Kings,3551160.00,
"Drew Gooden, PF",Washington Wizards,3547000.00,
"Will Barton, SG",Denver Nuggets,3533333.00,
"Paul Pierce, SF",LA Clippers,3527920.00,
"Buddy Hield, SG",Sacramento Kings,3517200.00,
"Brandon Rush, F",Minnesota Timberwolves,3500000.00,
"Mike Miller, SG",Denver Nuggets,3500000.00,
"Anthony Morrow, SG",Oklahoma City Thunder,3488000.00,
"Trey Burke, PG",Washington Wizards,3386598.00,
NAME,TEAM,SALARY,
"Mike Scott, PF",Atlanta Hawks,3333334.00,
"KJ McDaniels, F",Brooklyn Nets,3333333.00,
"Troy Daniels, SG",Memphis Grizzlies,3332940.00,
"Julius Randle, PF",Los Angeles Lakers,3267120.00,
"Emmanuel Mudiay, PG",Denver Nuggets,3241800.00,
"CJ McCollum, SG",Portland Trail Blazers,3219579.00,
"Jamal Murray, PG",Denver Nuggets,3210840.00,
"Michael Carter-Williams, PG",Chicago Bulls,3183526.00,
"Steven Adams, C",Oklahoma City Thunder,3140517.00,
"Kelly Olynyk, PF",Boston Celtics,3094014.00,
NAME,TEAM,SALARY,
"Shabazz Muhammad, F",Minnesota Timberwolves,3046299.00,
"Justin Hamilton, C",Brooklyn Nets,3000000.00,
"Tibor Pleiss, C",Philadelphia 76ers,3000000.00,
"Giannis Antetokounmpo, PF",Milwaukee Bucks,2995421.00,
"Nik Stauskas, G",Philadelphia 76ers,2993040.00,
"Dante Cunningham, F",New Orleans Pelicans,2978250.00,
"Stanley Johnson, SF",Detroit Pistons,2969880.00,
"Marquese Chriss, PF",Phoenix Suns,2941440.00,
"Dewayne Dedmon, C",San Antonio Spurs,2898000.00,
"James Ennis III, SF",Memphis Grizzlies,2898000.00,
NAME,TEAM,SALARY,
"Mindaugas Kuzminskas, F",New York Knicks,2898000.00,
"Dion Waiters, SG",Miami Heat,2898000.00,
"Nene Hilario, C",Houston Rockets,2898000.00,
"Zaza Pachulia, C",Golden State Warriors,2898000.00,
"Seth Curry, SG",Dallas Mavericks,2898000.00,
"Tomas Satoransky, SG",Washington Wizards,2870813.00,
"Noah Vonleh, PF",Portland Trail Blazers,2751360.00,
"Frank Kaminsky, PF",Charlotte Hornets,2730000.00,
"Dennis Schroder, PG",Atlanta Hawks,2708582.00,
"Jakob Poeltl, C",Toronto Raptors,2703960.00,
NAME,TEAM,SALARY,
"Aaron Brooks, G",Indiana Pacers,2700000.00,
"Elfrid Payton, PG",Orlando Magic,2613600.00,
"Justise Winslow, SF",Miami Heat,2593440.00,
"Thon Maker, PF",Milwaukee Bucks,2568600.00,
"Randy Foye, SG",Brooklyn Nets,2500000.00,
"Richard Jefferson, F",Cleveland Cavaliers,2500000.00,
"Malcolm Delaney, G",Atlanta Hawks,2500000.00,
"Doug McDermott, SF",Oklahoma City Thunder,2483040.00,
"Myles Turner, C",Indiana Pacers,2463840.00,
"Domantas Sabonis, PF",Oklahoma City Thunder,2440200.00,
NAME,TEAM,SALARY,
"Shelvin Mack, G",Utah Jazz,2433334.00,
"Tony Snell, SG",Milwaukee Bucks,2368327.00,
"Gorgui Dieng, C",Minnesota Timberwolves,2348783.00,
"Trey Lyles, PF",Utah Jazz,2340600.00,
"Mason Plumlee, PF",Portland Trail Blazers,2328530.00,
"Dario Saric, PF",Philadelphia 76ers,2318280.00,
"Taurean Prince, PF",Atlanta Hawks,2318280.00,
"Tim Hardaway Jr., SG",Atlanta Hawks,2281605.00,
"Reggie Bullock, SG",Detroit Pistons,2255644.00,
"Zach LaVine, PG",Minnesota Timberwolves,2240880.00,
NAME,TEAM,SALARY,
"Devin Booker, SG",Phoenix Suns,2223600.00,
"Luc Mbah a Moute, F",LA Clippers,2203000.00,
"Georgios Papagiannis, C",Sacramento Kings,2202240.00,
"Mo Williams, PG",Denver Nuggets,2194500.00,
"Andre Roberson, SG",Oklahoma City Thunder,2183072.00,
"Joe Ingles, SF",Utah Jazz,2150000.00,
"T.J. Warren, SF",Phoenix Suns,2128920.00,
"Rudy Gobert, C",Utah Jazz,2121288.00,
"Cameron Payne, G",Oklahoma City Thunder,2112480.00,
"Denzel Valentine, SG",Chicago Bulls,2092200.00,
NAME,TEAM,SALARY,
"Tim Frazier, PG",New Orleans Pelicans,2090000.00,
"Kendall Marshall, PG",Milwaukee Bucks,2048257.00,
"Adreian Payne, PF",Minnesota Timberwolves,2022240.00,
"Kelly Oubre Jr., SF",Washington Wizards,2006640.00,
"Juan Hernangomez, PF",Denver Nuggets,1987440.00,
"Lucas Nogueira, C",Toronto Raptors,1921320.00,
"Jusuf Nurkic, C",Portland Trail Blazers,1921320.00,
