"player_id","player_name.x","SALARY","fantasy_points","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","salaryPerPoints","predResponse"
"holidju01","Justin Holiday",1015696,1112,"SG",27,"NYK",82,4,1639,233,538,0.433,97,273,0.355,136,265,0.513,0.523,66,80,0.825,27,198,225,102,65,31,66,109,629,913.395683453237,"7611.35245654135"
"holliro01","Rondae Hollis-Jefferson",1395600,1394.4,"SF",22,"BRK",78,50,1761,235,542,0.434,15,67,0.224,220,475,0.463,0.447,190,253,0.751,96,356,452,154,82,44,116,177,675,1000.86058519793,"1692.56687531702"
"holmeri01","Richaun Holmes",1025831,1086.2,"C",23,"PHI",57,17,1193,230,412,0.558,27,77,0.351,203,335,0.606,0.591,72,103,0.699,94,217,311,58,42,55,55,136,559,944.421837598969,"3571.07894075521"
"hoodro01","Rodney Hood",1406520,1077.4,"SG",24,"UTA",59,55,1593,272,666,0.408,114,307,0.371,158,359,0.44,0.494,90,115,0.783,16,186,202,96,38,11,65,132,748,1305.47614627808,"6963.66404679527"
"horfoal01","Al Horford",26540100,2068.5,"C",30,"BOS",68,68,2193,379,801,0.473,86,242,0.355,293,559,0.524,0.527,108,135,0.8,95,370,465,337,52,86,115,138,952,12830.6018854242,"13161.1079118948"
"howardw01","Dwight Howard",23180275,2202,"C",31,"ATL",74,74,2199,388,613,0.633,0,2,0,388,611,0.635,0.633,226,424,0.533,296,644,940,104,64,92,170,203,1002,10526.9187102634,"8355.87670023681"
"ibakase01","Serge Ibaka",12250000,547.7,"PF",27,"TOR",23,23,712,128,279,0.459,41,103,0.398,87,176,0.494,0.532,30,34,0.882,29,127,156,15,7,33,39,76,327,22366.2589008581,"28091.640746996"
"ibakase01","Serge Ibaka",12250000,2049.1,"PF",27,"TOT",79,79,2422,471,982,0.48,124,317,0.391,347,665,0.522,0.543,107,125,0.856,129,409,538,75,41,124,105,215,1173,5978.23434678639,"8159.16937182524"
"ibakase01","Serge Ibaka",12250000,1501.4,"PF",27,"ORL",56,56,1710,343,703,0.488,83,214,0.388,260,489,0.532,0.547,77,91,0.846,100,282,382,60,34,91,66,139,846,8159.05155188491,"9323.54896628213"
"iguodan01","Andre Iguodala",11131368,1430.3,"SF",33,"GSW",76,0,1998,219,415,0.528,64,177,0.362,155,238,0.651,0.605,72,102,0.706,51,253,304,261,76,39,58,97,574,7782.54072572188,"9496.16654138435"
"inglejo01","Joe Ingles",2150000,1282.7,"SF",29,"UTA",82,26,1972,204,451,0.452,123,279,0.441,81,172,0.471,0.589,50,68,0.735,23,238,261,225,96,8,107,163,581,1676.15186715522,"6600.08184987609"
"ingrabr01","Brandon Ingram",5281680,1291.2,"SF",19,"LAL",79,40,2279,276,686,0.402,55,187,0.294,221,499,0.443,0.442,133,214,0.621,60,256,316,166,50,36,116,158,740,4090.52044609665,"3076.53067935759"
"irvinky01","Kyrie Irving",17638063,2456,"PG",24,"CLE",72,72,2525,671,1420,0.473,177,441,0.401,494,979,0.505,0.535,297,328,0.905,52,178,230,418,83,24,180,157,1816,7181.62174267101,"5000.38405104547"
